,PC1,PC2,abs_PC1,abs_PC2
ncpr,0.022720266407791904,-0.37132903786716537,0.022720266407791904,0.37132903786716537
fcr,0.09669980349939743,0.301193012180008,0.09669980349939743,0.301193012180008
kappa,-0.08764219587992046,0.21117538985416948,0.08764219587992046,0.21117538985416948
scd,0.08498692256232601,0.0032841078625844454,0.08498692256232601,0.0032841078625844454
aromatic_frac,0.3434803933420859,-0.14311732230623073,0.3434803933420859,0.14311732230623073
glycine_frac,0.2707643520995168,-0.24679728871415035,0.2707643520995168,0.24679728871415035
proline_frac,-0.3113375229817851,-0.21263298378358989,0.3113375229817851,0.21263298378358989
qn_frac,-0.23752479413841174,-0.18417197322940387,0.23752479413841174,0.18417197322940387
serine_frac,0.23450438126479445,-0.14575575091290363,0.23450438126479445,0.14575575091290363
arg_frac,0.289225008455271,-0.24813098096697817,0.289225008455271,0.24813098096697817
aromatic_clustering,0.17900853952051565,0.19437447509130606,0.17900853952051565,0.19437447509130606
mean_beta_propensity,0.1176640328980328,0.2572743349276396,0.1176640328980328,0.2572743349276396
full_mean_p_lock,0.33387979272350016,-0.10368198307885024,0.33387979272350016,0.10368198307885024
full_mean_p_polar,-0.23811016645540892,-0.04322837244693412,0.23811016645540892,0.04322837244693412
lcd_lockability_per_pair,0.2755406769592349,-0.19777594453985337,0.2755406769592349,0.19777594453985337
max_apr_score,0.3173576083659347,0.26787087747633687,0.3173576083659347,0.26787087747633687
mean_amyloid_propensity,0.029596515388352524,0.4516255598418449,0.029596515388352524,0.4516255598418449
larks_count,0.1848638881576518,0.15240501586167776,0.1848638881576518,0.15240501586167776
mean_llr,0.08419249031653608,-0.16408056399068313,0.08419249031653608,0.16408056399068313
emb_norm,-0.24311694276745438,-0.04334428370818287,0.24311694276745438,0.04334428370818287
