feature,importance
protein_length,0.13359633
position_disorder,0.116651475
total_disorder_frac,0.0985395
relative_position,0.05178608
charge_change_neutral,0.049692314
creates_proline,0.034688625
local_proline_frac,0.033924844
polarity_change_polar_to_nonpolar,0.029687671
local_disorder,0.027075633
local_p_lock,0.02678302
local_glycine_frac,0.02656478
local_p_pi,0.026530305
local_charge_density,0.025749907
local_hydrophobicity,0.02476643
local_aromatic_density,0.024384651
local_beta_propensity,0.022947289
charge_change_charge_gain,0.02288243
size_change,0.022648092
local_p_polar,0.022585751
local_qn_frac,0.022417568
aromatic_change_loss,0.021251462
charge_change_charge_loss,0.019240765
destroys_proline,0.019202081
blosum62,0.016777338
grantham_distance,0.016700733
polarity_change_same,0.016107248
hydrophobicity_change,0.015345554
is_sticker,0.014204631
aromatic_change_none,0.0091862455
creates_glycine,0.008081189
in_idr,0.0
